Question Numbers,Variable,English,Turkish,Korean,MEMO by Sungeun,Comments by Banu
12,rahe,"Everyone comes across negative and positive life events, which might be stress inducing. We are asking you to think of LAST YEAR and indicate if you have experienced any of the listed events, within the LAST YEAR. If you have experienced an event, we will ask you how much you were affected by this event, on a scale from 'Not at all affected' to 'Very much affected'.","Herkesin başına belli zamanlarda olumlu veya olumsuz, bazen sıkıntılı bazen sevindirici olaylar gelebiliyor.  Biz sizin SON BİR SENE’yi düşünmenizi ve SON BİR SENEDE sıralayacağımız/soracağımız olaylardan her birini yaşayıp yaşamadığınızı belirtmenizi istiyoruz.  Bu olayı yaşadıysanız ne kadar etkilendiğinizi soracağız. Böyle bir olay yaşadıysanız gene 1 ile 5arasında etkilenip etkilenmediğinizi belirtiniz",누구나 살다보면 부정적인 사건과 긍정적인 사건들을 경험하게 됩니다. 다음 중 지난 한 해 동안 당신이 경험한 사건에 대해 해당 사건이 얼마나 당신에게 영향을 주었는지를 평정하시오.,,
,affected1, I did not experience such an event,Böyle bir olay yaşamadım,경험한 적 없음,,
,affected2,Not at all effected,Hiç etkilenmedim,전혀 영향받지 않음,,
,affected3,Not affected,Etkilenmedim,영향받지 않음,,
,affected4,Neither affected nor not affected,Ne etkilendim ne etkilenmedim,보통,,
,affected5,Affected,Etkilendim,영향받음,,
,affected6,Very much affected,Çok etkilendim,매우 많이 영향을 받음,,
,rahe_item1,Death of spouse,Eşin/sevgilinin ölümü,배우자의 죽음,,
,rahe_item2,Divorce,Boşanmak,이혼,,
,rahe_item3,Marital separation from mate,Evli eşlerin boşanmadan ayrı yaşamları,별거,,
,rahe_item4,Detention in jail or other institution,"Gözaltı, tutuklama, hapse girmek",구치소에 수감됨,,
,rahe_item5,Death of a close family member,Aileden yakın birinin ölümü,가까운 가족의 죽음,,
,rahe_item6,Major personal injury or illness,Kişisel yaralanma veya hastalık,중한 질병이나 상해,,
,rahe_item7,Marriage,Evlenmek,결혼,,
,rahe_item8,Being fired at work,İşinden çıkarılmak,직장에서 해고당함,,
,rahe_item9,Marital reconciliation with mate,Eş/sevgili ile barışmak,이혼이나 별거 후 재결합,,
,rahe_item10,Retirement from work,Emekliye ayrılmak,정년퇴임 또는 은퇴,,
,rahe_item11,Major change in the health or behavior of a family member,Aile üyelerinden birinin sağlığında önemli değişim,가족의 건강이나 행동에 있어서의 중대한 변화,,
,rahe_item12,Pregnancy,Hamilelik/veya eşin hamileliği,임신,,
,rahe_item13,Sexual difficulties,Cinsel problemler,성 문제,,
,rahe_item14,"Gaining a new family member (i.e. birth, adoption, older adult moving in etc.),",Aileye yeni birinin katılması,"새로운 가족이 생김(출산, 입양, 따로 살던 부모님을 모시게 됨 등)",,
,rahe_item15,Major business readjustment,İşte/görevde yeniden düzenleme,사업 또는 직장에서의 변화로 인한 재적응,,
,rahe_item16,Major change in financial state (i.e. a lot worse or better off than usual),Ekonomik/parasal durumda önemli değişim,재정상태의 변화(이전보다 훨씬 좋아지거나 나빠짐),,
,rahe_item17,Death of a close friend,Yakın arkadaş ölümü,가까운 친구의 죽음,,
,rahe_item18,Changing to a different line of work,Başka bir çalışma alanına geçiş,업무상의 변화(이전과 다른 업무를 담당하게 됨),,
,rahe_item19,"Major change in the number of arguments w/spouse (i.e. either a lot more or a lot less than usual regarding child rearing, personal habits, etc.),",Eşle yapılan tartışmaların sayısında değişiklik (artış veya düşüş),배우자와의 다툼이 이전에 비해 훨씬 잦아지거나 줄어듬(예: 양육이나 성격등의 문제로 인한 다툼이 평소보다 훨씬 더 잦아지거나 줄어듬),,
,rahe_item20,"Taking on a mortgage (for home, business etc.)",200.000 TL üstü ödenecek konut/ev kredisi,주택구입(전세포함)이나 사업상의 이유로 담보대출을 받음,,
,rahe_item21,Foreclosure on a mortgage or loan,Kredisi ödenemeyen eve veya geri ödenemeyen krediye haciz gelmesi,담보대출받은 집이나 재산이 압류당함,,
,rahe_item22,"Major change in responsibilities at work (i.e. promotion, demotion, etc.)",İş sorumluluklarında önemli değişim,"직장 내에서의 책임의 변화(승진, 진급을 하거나 강등, 좌천당함)",,
,rahe_item23,"Son or daughter leaving home (marriage, attending college, joined mil.)",Oğul veya kızın evden ayrılması,"성인자녀가 집을 떠남(결혼으로 인한 출가, 대학진학, 군대입대 등)",,
,rahe_item24,In-law troubles,Eşin ailesiyle sorun yaşamak,시댁식구나 처가식구와의 갈등,,
,rahe_item25,Outstanding personal achievement,Önemli bir kişisel başarı,탁월한 개인적 성취,,
,rahe_item26,Spouse beginning or ceasing work outside the home,Eşin işe başlaması veya bırakması,배우자가 새로운 일을 시작하거나 하던 일을 그만둠(가정일 제외),,
,rahe_item27,Beginning or ceasing formal schooling,Okula başlamak veya okulu bitirmek,"정규교육을 시작하거나 중단함(예: 대학진학 또는 졸업, 자퇴)",,
,rahe_item28,"Major change in living condition (new home,remodeling, deterioration of neighborhood or home etc.)","Yaşam koşullarında önemli değişim (yeni ev, evin yenilenmesi, ev veya mahallenin yaşam koşullarında değişim)","생활환경에 있어서의 중요한 변화(새집으로 이사함, 리모델링, 평소살던 집보다 열악한 집 또는 지역으로 이사를 가게됨 등)",,
,rahe_item29,"Revision of personal habits (dress manners, associations, quitting smoking)","Alışkanlıkları değiştirmek (kıyafet tarzının değişmesi, bir gruba katılmak, sigarayı bırakmak vb.)","개인적인 생활습관의 변화 및 수정(옷 입는 스타일, 금연 등)",,
,rahe_item30,Troubles with the boss,Patronla yaşanan sorunlar,상사와의 갈등,,
,rahe_item31,Major changes in working hours or conditions,İş saatleri veya koşullarında önemli değişim,근무시간이나 근무조건에 있어서의 중대한 변화,,
,rahe_item32,Changes in residence,İkamet edilen yerde değişiklik/oturduğu evden taşınma,주거지 변경,,
,rahe_item33,Changing to a new school,Okul değiştirmek,새로운 학교로 옮김,,
,rahe_item34,Major change in usual type and/or amount of recreation,Boş zamanlarını değerlendirmede/ İstirahat alışkanlıklarında önemli değişiklik,여가활동 유형이나 참여빈도의 변화,,
,rahe_item35,Major change in church activity (i.e. a lot more or less than usual),Dini aktivitelerde değişiklik (eskisinden daha fazla veya daha az),종교활동 참여빈도의 변화,,
,rahe_item36,"Major change in social activities (clubs, movies, visiting, etc).","Sosyal aktivitelerde/etkinliklerde önemli değişiklik (kulüp üyelikleri, sinema, ziyaret vb.)",사회활동에 있어서의 변화(모임이나 이웃방문 등),,
,rahe_item37,"Taking on a loan (car, tv, freezer, etc)",200.000 TL altı ödenecek kredi borcu,"차, TV, 냉장고 등을 구입하기 위해 대출을 받거나 돈을 빌림",,
,rahe_item38,Major change in sleeping habits (a lot more or a lot less than usual),Uyku alışkanlıklarında önemli değişiklik,수면습관의 변화 (평소보다 훨씬 더 많이 자거나 덜 잠),,
,rahe_item39,Major change in number of family get togethers,Aile toplantılarının sayısında ya da aile ile bir araya gelme sayısında önemli değişiklik,가족들이 함께 모이는 빈도가 현저하게 변화(증가 또는 감소)함,,
,rahe_item40,"Major change in eating habits (a lot more or less food intake, or very different meal hours or surroundings)",Yeme alışkanlıklarında önemli değişiklik,"식습관의 변화(평소보다 훨씬 더 많이 먹거나 덜 먹음, 또는 식사시간이나 식사환경이 현저하게 변화함)",,
,rahe_item41,Vacation,Tatile gitmek,휴가 또는 방학,,
,rahe_item42,Major holidays,"Milli bayramlar, dini bayramlar, ve yeni yıl kutlamaları",명절이나 연휴,,
,rahe_item43,"Minor violations of the law (traffic tickets, jaywalking, disturbing the peace, etc)",Önemsiz kanunsuzluklar yapmak/ Kanunların küçük ihlali,"경미한 법적인 위반(교통위반 범칙금, 무단횡단, 공공질서 위반 등)",,
,rahe_item44,Problems in school,Okul/eğitimde sorunlar,학교 내에서의 문제,,
,rahe_item45,Not being able to find work,İş bulamamak,일자리를 찾지 못함,,
,rahe_item46,Problems in the relationship,"Flört, nişanlı, sözlü, erkek/kız arkadaş ile ilişkide zorluklar",대인관계 문제,,
,rahe_item47,Psychological distress,Psikolojik rahatsızlık,심리적 고통,,
,rahe_item48,Country-wide political and social problems,Ülke çapında politik ve sosyal problemler,"범국가적인 정치, 사회문제",,
,rahe_item49,"Did you experience a serious accident, fire, natural catastrophe such as an earthquake, physical harassement (beating, shaking), maltreatment (insult), or other serious, traumatic events that affect your life?","Ciddi bir kaza, yangın, deprem gibi doğal afetler, fiziksel şiddet (dövme, tartaklama), kötü muamele (hakaret gibi) ve bunun gibi ciddi, travmatik, hayatınızı çok etkilemiş bir olay yaşadınız mı?","심각한 사고, 화재, 자연재해, 신체적 폭행, 모욕 등의 부당한 대우를 받거나 트라우마(외상) 사건과 같이 삶에 영향을 주는 사건들을 경험하신 적이 있습니까?",,
,rahe_item50,Suicidal attempt of a close person,Bir yakının veya yakın bir arkadaşını kendini öldürme girişimi,가까운 사람이 자살시도를 함,,
,rahe_item51,Suicide of a close person,Bir yakının veya yakın bir arkadaşın kendi hayatına son vermesi,가까운 사람이 자살로 사망함,,
,rahe_item52,Being exposed to physical abuse,"Herhangi bir fiziksel şiddete (tokat atılmak, tartaklanmak, dövümek gibi) maruz kaldınız mı?",신체적 학대(폭력)를 당함,,
,rahe_item53,Being exposed to psychological abuse  such as insult,"Herhangi bir şekilde psikolojik şiddete maruz kaldınız mı? Hakaret, küfür ve bunun gibi?",심리적 학대(모욕 등)를 당함,,
,rahe_item54,"Being exposed to sexual abuse such as molestation, abuse, rape,","Cinsel şiddete maruz kaldınız mı? (sarkıntılık, taciz, tecavüz gibi)","성적인 학대(강간, 성폭력, 성추행)을 당함",,
,rahe_item55,Other,Diğer,기타 사건,,
13,instructions2,"With this questionnaire we are trying to understand how you respond to stressful events. There are many ways to deal with stress. While rating the items that follow please think of the most distressing event that you have experienced during the past year. Obviously, different people deal with things in different ways, but I'm interested in how you've tried to deal with it.  Each item says something about a particular way of coping.  We want to know to what extent you've been doing what the item says.  How much or how frequently.  Don't answer on the basis of whether it seems to be working or not—just whether or not you're doing it.  Try to rate each item separately in your mind from the others.  Make your answers as true FOR YOU as you can.
","Bu ölçek yardımıyla insanların günlük yaşamlarında kendilerine sıkıntı veren, kendilerini bunaltan olaylarla ya da sorunlarla karşılaştıkları zaman nasıl tepki verdiklerini anlamayı amaçlıyoruz. İnsanların karşılaştıkları sorunlarla baş etmelerinin çok sayıda yolu olabilir. Birazdan size okuyacağım ifadelerde insanların sorunlarla nasıl başettiklerine dair ifadeler olacak ve sizin bu yollara ne kadar başvurduğunuzu söylemenizi isteyeceğiz.  

İfadelere geçmeden evvel sizden biraz önce bahsettiğiniz olaylardan size EN SIKINTI YARATININI, sizi EN BUNALTANINI seçmenizi ve bize söylemenizi istiyoruz. 
Eğer geçen sene içerisinde hiçbir sorun yaşamadığını belirtiyorsa, en son yaşadığı sorunun hangisi olduğunu sorun, yazın ve onu düşünmesini isteyin.)
","다음의 문항들은 당신이 스트레스에 어떻게 반응하는지를 알아보기 위한 것입니다. 스트레스에 대처하는 방식은 여러가지가 있고, 사람들은 모두 각기 다른 방식으로 스트레스에 반응합니다. 다음의 문항들은 특정한 방식의 스트레스 대처에 관한 것들입니다. 다음의 문항들에 대해 지난 한 해 동안 경험했던 가장 고통스러웠던 사건을 떠올리면서 얼마나 종종 이러한 대처방식을 사용하셨었는지를 생각하시면서 답해주십시오.",,
,cope_b,"So first, please indicate, within the last year, which event has caused you the most distress and difficulty?  Please choose the most distressing event from the events you have indicated in the previous questionnaire. YOU HAVE INDICATED THE FOLLOWING AS THE MOST STRESSFUL.  PLEASE CHOOSE ONE, WE WILL BE ASKING YOU QUESTIONS REGARDING HOW YOU COPED WITH THIS STRESS.","İfadelere geçmeden evvel sizden biraz önce bahsettiğiniz olaylardan size EN SIKINTI YARATININI, sizi EN BUNALTANINI seçmenizi istiyoruz.  Aşağıda sizi en bunalttığını işaretlemiş olduğunuz durumlar var.  Bu durumlardan birini seçiniz. Bir sonraki etapta size bu durumla nasıl başaçıkmış olduğunuza dair sorular soracağız.",지난 1년 이내에 당신이 가장 고통스럽게 느끼고 힘들었던 사건은 무엇입니까? 위에서 경험하셨다고 답하신 사건들 중 가장 고통스러웠던 사건을 선택하십시오. .,,"(BC: I HAVE UPDATED THE INSTRUCTIONS SUNGEUN, PLEASE SEE WHETHER THIS MAKES MORE SENSE AND UPDATE YOUR OWN SIDE OF IT IF IT DOES)"
,cope_c,"While answering these questions, please think of how you generally acted when you were faced with the most distressing problem you have selected in the previous question. When I was faced with this problem…","Aşağıdaki soruları cevaplarken, lütfen biraz evvel seçtiğiniz sorunu düşünün ve bu durumla genel olarak nasıl başaçıktığınızı düşünerek cevaplayınız. Bu sorunu yaşarken….....",당신이 이전 질문에서 선택했던 어렵고 힘든 일들에 직면하여 당신이 어떻게 행동했었는지를 생각하면서 다음의 질문에 답해주십시오.,,
,done1, I have never done this,Bunu hiç yapmadım,해 본 적이 없음,,
,done2,I have rarely done this,Bunu çok az yaptım,거의 해 본 적이 없음,,
,done3,I have sometimes done this,Bazen böyle yaptım,가끔 해 보았음,,
,done4,I have mostly done this,Çoğunlukla böyle yaptım,대부분 했었음,,
,done5,I have always done this,Bunu hep  yaptım,항상 했음,,
,cope_c_item1,I've been turning to work or other activities to take my mind off things.,Sorun olan şeyleri aklımdan atmak için bir şeyler yapmaya ya da başka türlü etkinliklere yöneldim,나는 그 일을 생각하지 않기 위해 일에 몰두하거나 다른 활동을 했다,,
,cope_c_item2,"I've been concentrating my efforts on doing something about the situation I'm in.,",İçinde olduğum durumla ilgili birşeyler yapmaya konsantre oldum.,내가 처한 상황을 해결하기 위한 일들을 하는데에 내 노력을 집중하였다,,
,cope_c_item3,I've been saying to myself this isn't real.,Sorun gerçekte olmamış gibi davrandım,이건 현실이 아닐 거라고 나 자신에게 혼자말로 이야기했다,,
,cope_c_item4,I've been using alcohol or other drugs to make myself feel better.,Kendimi iyi hissettmek için alkol veya ilaç kullandım.,기분을 달래기 위해 술을 마셨다,,
,cope_c_item5,I've been getting emotional support from others.,Başkalarından duygusal destek aldım,주변사람들의 정서적 지지를 받았다,,
,cope_c_item6,"I've been giving up trying to deal with it.,",Bu sorunla baş edemeyeceğimi kabul ettim ve denemekten vaz geçtim.,그 일을 해결하는 것을 포기하였다,,
,cope_c_item7,I've been taking action to try to make the situation better.,Durumu düzeltmek için harekete geçtim.,상황을 호전시키기 위한 행동을 했다,,
,cope_c_item8,I've been refusing to believe that it has happened.,Bu olayın olduğuna inanmayı reddettim.,그 일이 일어났다는 사실을 믿지 않으려했다,,
,cope_c_item9,I've been saying things to let my unpleasant feelings escape.,Olumsuz hislerimden kurtulmak için konuştum,나의 불쾌한 감정을 떨쳐버리기 위해 이런저런 말들을 해 보았다,,
,cope_c_item10,I’ve been getting help and advice from other people.,Başkalarından yardım ve tavsiye aldım,다른사람들에게 도움을 청하거나 조언을 들어보았다,,
,cope_c_item11,I've been using alcohol or other drugs to help me get through it.,Alkol ya da sakinleştirici alarak olanları unutmaya çalıştım.,상황을 극복하기 위한 방책으로 술을 마시거나 기타 다른 약물들을 사용해보았다,,
,cope_c_item12,"I've been trying to see it in a different light, to make it seem more positive.","Yaşanan olaya başka bir açıdan bakmaya, daha olumlu düşünmeye çalıştım",보다 긍정적인 마음을 갖고자 다른 관점에서 사건을 바라보려고 노력했다,,
,cope_c_item13,I’ve been criticizing myself.,Kendimi eleştirdim,나 자신을 스스로 비난해 보았다,,
,cope_c_item14,I've been trying to come up with a strategy about what to do.,Ne yapmam gerektiği konusunda bir strateji geliştirmeye çalıştım,무슨 일을 할 지에 대한 전략(계획)을 짜보려고 노력했다,,
,cope_c_item15,I've been getting comfort and understanding from someone.,Birisinden/birilerinden teselli ve anlayış gördüm,누군가가 나를 이해해주고 위로를 해 주었다,,
,cope_c_item16,I've been giving up the attempt to cope.,Baş etme çabalarımdan vazgeçtim,대처하려는 시도를 포기하였다,,
,cope_c_item17,I've been looking for something good in what is happening.,Olayların iyi yanını görmeye çalıştım,스트레스 상황 속에서도 그 일이 나에게 주는 좋은 측면을 찾아보고자 했다,,
,cope_c_item18,I've been making jokes about it.,Söz konusu sorunla ilgili şakalar yaptım,그 일에 대해 농담을 해 보았다,,
,cope_c_item19,"I've been doing something to think about it less, such as going to movies, watching TV, reading, daydreaming, sleeping, or shopping.,","Durumu daha az düşünmek, kendimi oyalamak için birşeyler yaptım (sinemaya gitmek, film izlemek, kitap okumak, hayal kurmak, uyumak ya da alışveriş yapmak gibi)","그 일에 대한 생각을 덜 하려고 이런저런 일들을 해 보았다(영화관람, TV 보기, 책 읽기, 혼자 공상하기, 잠자기, 쇼핑하기 등)",,
,cope_c_item20,I've been accepting the reality of the fact that it has happened.,Böyle bir şeyin olduğu gerçeğini kabul ettim,일어난 사건(사실)을 현실적으로 받아들였다,,
,cope_c_item21,I've been expressing my negative feelings.,Olumsuz duygularımı dışarı vurdum,나의 부정적인 감정들을 표현하였다,,
,cope_c_item22,I've been trying to find comfort in my religion or spiritual beliefs.,Dini inancımda huzur bulmaya çalıştım,종교나 영적인 믿음에서 위안을 찾고자 하였다,,
,cope_c_item23,I’ve been trying to get advice or help from other people about what to do.,Ne yapacağıma dair başka insanlardan tavsiye ve yardım aldım,대처하는 과정에서 다른사람들에게 도움을 청하거나 조언을 구하려고 노력했다,,
,cope_c_item24,I've been learning to live with it.,Bu durumla yaşamayı öğrendim,스트레스(또는 그 문제)를 안고 살아가는 법을 배우게 되었다,,
,cope_c_item25,I've been thinking hard about what steps to take.,Bundan sonra atacağım adımlar hakkında iyice düşündüm,어떤 순서로 일에 대처해야 할지에 대해 열심히 생각해 보았다,,
,cope_c_item26,I’ve been blaming myself for things that happened.,Olan şeylerden dolayı kendimi suçladım,그 일이 발생한 것에 대해 나 자신을 스스로 비난했다,,
,cope_c_item27,I've been praying or meditating.,Dua ettim ya da meditasyon yaptım,기도를 하거나 명상을 하였다,,
,cope_c_item28,I've been making fun of the situation,Durumla dalga geçtim,내가 처한 상황을 (농담식으로) 놀리듯이 조롱해보았다,,
,cope_c_item29,I was not alone while dealing with this problem.,Bu sorunla başa çıkarken yalnız değildim,그 문제를 해결하는 데 있어 나는 혼자가 아니었다(도와주는 사람이 주변에 있었다),,
,cope_c_item30,"Even if it meant that I had to make sacrifices, I tried to support other people who I have been facing the problem with.","Kendimden fedarkarlik etmem gerekse bile, bu sorunu birlikte yaşadığım diğer insanlara da destek olmaya çalıştım.",비록 내가 희생을 해야 하는 일이었을지라도 나는 함께 문제를 겪고 있는 사람들을 지지하기 위해 노력했다,,
,cope_c_item31,"While deciding what to do with my problem, I took other people’s feelings into consideration.",Bu soruna dair ne yapacağıma karar verirken başka insanların neler hissettiğini dikkate aldım.,내 문제를 해결하기 위해 무엇을 할지 결정하는 과정에서 나는 다른 사람들의 감정을 고려(배려)하였다,,
,cope_c_item32,"While resolving this problem, I tried to meet everyone ‘s needs who is affected or a part of this problem.",Sorunun çözümünde sorundan etkilenen veya bir parçası olan herkesin ihtiyaçlarını karşılamaya çalıştım,"문제를 해결하는 동안, 나는 그 문제에 얽혀있는 모든 사람들의 욕구와 바램을 충족시키려고 노력했다",,
,cope_c_item33,"In order to resolve this problem, no matter how difficult it is, I tried to meet everyone’s requests","Bu sorunun çözülmesi uğruna, zor da olsa, sorundan etkilenen herkesin isteklerini gerçekleştirmeye çalıştım.",문제를 해결하기 위해 아무리 어려운 요구라해도 모든 사람들의 요구를 들어주려고 노력했다,,
,communal_check,"Please think of the same event that you faced within the last year, that has caused you the most distress and difficulty. Think of the people that you have consulted with when you were dealing with this problem, and what they have done. ",Bir sonraki soruları yanıtlarken lütfen tekrar geçen sene başınızdan geçen en fazla sıkıntı yaratan olayı düşünün. Bu olayla baş ederken kimlere danıştığınızı ve onların size nasıl yardımcı olduğunu düşününüz. Birden fazla seçeneği işaretliyebilirsiniz,지난 한 해동안 발생한 사건들 중 가장 괴롭고 힘들었던 일을 생각하면서 다음을 답해주십시오. 문제를 해결하는 과정에서 당신이 도움을 청했던 사람들과 당신이 했던 일들을 떠올리면서 답해주십시오.,,"HERE LETS MAKE SURE THAT WE HAVE A RESPONSE OPTION WHICH IS INDICATIVE OF NOT AVAILABLE OR APPLICABLE FOR THOSE WHO DO NOT HAVE A FATHER, MOTHER, RELATIVE, CHILD ETC..."
,father_a,Have you spoken to your Father about this problem?,Babanızla bu olay hakkında konuştunuz mu?,아버지께 문제에 대해 말씀드렸습니까?,,
,"LET'S PUT HERE A RESPONSE CHOICE INDICATING A NOT APPLICABLE/AVAILABLE response option as the following: a) YES, b) NO, c) NOT APPLICABLE... and if not applicable, the next question should appear, meaning the question about the mother.",,,,,
,father_b,Did he listen to you about your problem?,Sizi bu sıkıntı yaratan olay ile ilgili dinledi mi?,아버지께서는 당신의 문제를 귀기울여 들어주셨습니까?,,
,"FOR EACH OF THESE QUESTIONS, THERE WILL BE A RESPONSE CHOICE LIKE THE FOLLOWING: a) YES, b) NO ",,,,,
,father_c,Did he perceive your problem/stress as if it is his own (even if they may not have anything to do with the problem itself)?,"Bu olayı kendi sıkıntısı, kendi problemi gibi gördü mü? (problemin onunla ilişkisi olsa da olmasa da)",아버지께서는 당신의 문제/스트레스를 마치 본인의 문제인 것처럼 생각해 주셨습니까? (비록 그 문제 자체를 위해 어떤 일을 하지 않았을지라도),,
,father_d,Did he try to solve your problem/stress for you (resorting mainly to their own resources and/or mobilizing your resources themselves)?,Bu olayı kendisi çözmeye çalıştı mı? (Çoğunlukla kendi kaynaklarını kullanarak veya sizin kaynaklarınızı harekete geçirerek),아버지께서는 당신의 문제/스트레스를 해결하기 위해 노력하셨습니까? (자신이 갖고 있는 자원들을 제공하려고 하거나 당신의 자원을 활용하도록 도움을 줌),,
,father_e,Did he share the responsibility of resolving this problem with you?,Bu olayı çözmenin sorumluluğunu sizinle paylaştı mı?,아버지께서는 당신의 문제를 해결하기 위한 책임을 공유했습니까?,,
,father_f,Did he care about your problem?,Bu sıkıntı yaratan olayı önemsedi mi?,아버지께서는 당신의 문제에 관심을 보이셨습니까?,,
,father_g,Did he think that it is mainly your responsibility to solve your own problem?,Bu sıkıntı yaratan olayı çözmenin genel olarak sizin sorumluluğunuz olduğunu düşündü mü?,아버지께서는 그 문제에 대한 주된 책임은 당신에게 있다고 생각하십니까?,,
,mother_a,Have you spoken to your Mother about this problem?,Annenizle bu olay hakkında konuştunuz mu?,어머니께 문제에 대해 말씀드렸습니까?,,
,"LET'S PUT HERE A RESPONSE CHOICE INDICATING A NOT APPLICABLE/AVAILABLE response option as the following: a) YES, b) NO, c) NOT APPLICABLE... and if not applicable, the next question should appear, meaning the question about the children.",,,,,
,mother_b,Did she listen to you about your problem?,Sizi bu sıkıntı yaratan olay ile ilgili dinledi mi?,어머니께서는 당신의 문제를 귀기울여 들어주셨습니까?,,
,mother_c,Did she perceive your problem/stress as if it is his own (even if they may not have anything to do with the problem itself)?,"Bu olayı kendi sıkıntısı, kendi problemi gibi gördü mü? (problemin onunla ilişkisi olsa da olmasa da)",어머니께서는 당신의 문제/스트레스를 마치 본인의 문제인 것처럼 생각해 주셨습니까? (비록 그 문제 자체를 위해 어떤 일을 하지 않았을지라도),,
,mother_d,Did she try to solve your problem/stress for you (resorting mainly to their own resources and/or mobilizing your resources themselves)?,Bu olayı kendisi çözmeye çalıştı mı? (Çoğunlukla kendi kaynaklarını kullanarak veya sizin kaynaklarınızı harekete geçirerek),어머니께서는 당신의 문제/스트레스를 해결하기 위해 노력하셨습니까? (자신이 갖고 있는 자원들을 제공하려고 하거나 당신의 자원을 활용하도록 도움을 줌),,
,mother_e,Did she share the responsibility of resolving this problem with you?,Bu olayı çözmenin sorumluluğunu sizinle paylaştı mı?,어머니께서는 당신의 문제를 해결하기 위한 책임을 공유했습니까?,,
,mother_f,Did she care about your problem?,Bu sıkıntı yaratan olayı önemsedi mi?,어머니께서는 당신의 문제에 관심을 보이셨습니까?,,
,mother_g,Did she think that it is mainly your responsibility to solve your own problem?,Bu sıkıntı yaratan olayı çözmenin genel olarak sizin sorumluluğunuz olduğunu düşündü mü?,어머니께서는 그 문제에 대한 주된 책임이 당신에게 있다고 생각하십니까?,,
,children_a,Have you spoken to your children about this problem?,Çocuklarınızla bu olay hakkında konuştunuz mu?,당신의 자녀에게 문제에 대해 이야기해 보았습니까?,,
,"LET'S PUT HERE A RESPONSE CHOICE INDICATING A NOT APPLICABLE/AVAILABLE response option as the following: a) YES, b) NO, c) NOT APPLICABLE... and if not applicable, the next question should appear, meaning the question about the siblings.",,,,,
,children_b,Did they listen to you about your problem?,Sizi bu sıkıntı yaratan olay ile ilgili dinlediler mi?,당신의 자녀들은 당신의 문제를 귀기울여 들어주었습니까?,,
,children_c,Did they perceive your problem/stress as if it is his own (even if they may not have anything to do with the problem itself)?,"Bu olayı kendi sıkıntıları, kendi problemleri gibi gördüler mi? (problemin onlarla ilişkisi olsa da olmasa da)",당신의 자녀들은 당신의 문제/스트레스를 마치 본인의 문제인 것처럼 생각했습니까? (비록 그 문제 자체를 위해 어떤 일을 하지 않았을지라도),,
,children_d,Did they try to solve your problem/stress for you (resorting mainly to their own resources and/or mobilizing your resources themselves)?,Bu olayı kendileri çözmeye çalıştılar mı? (Çoğunlukla kendi kaynaklarını kullanarak veya sizin kaynaklarınızı harekete geçirerek),당신의 자녀들은 당신의 문제/스트레스를 해결하기 위해 노력했습니까? (자신이 갖고 있는 자원들을 제공하려고 하거나 당신의 자원을 활용하도록 도움을 줌),,
,children_e,Did they share the responsibility of resolving this problem with you?,Bu olayı çözmenin sorumluluğunu sizinle paylaştılar mı?,당신의 자녀들은 당신의 문제를 해결하기 위한 책임을 공유했습니까?,,
,children_f,Did they care about your problem?,Bu sıkıntı yaratan olayı önemsediler mi?,당신의 자녀들은 당신의 문제에 관심을 보였습니까?,,
,children_g,Did they think that it is mainly your responsibility to solve your own problem?,Bu sıkıntı yaratan olayı çözmenin genel olarak sizin sorumluluğunuz olduğunu düşündüler mü?,당신의 자녀들은 그 문제에 대한 주된 책임이 당신에게 있다고 생각했습니까?,,
,sibling_a,Have you spoken to your siblings about this problem?,Kardeşlerinizle bu sıkıntı hakkında konuştunuz mu?,형제/자매들에게 문제에 대해 이야기해 보았습니까?,,
,"LET'S PUT HERE A RESPONSE CHOICE INDICATING A NOT APPLICABLE/AVAILABLE response option as the following: a) YES, b) NO, c) NOT APPLICABLE... and if not applicable, the next question should appear, meaning the question about the children.",,,,,
,sibling_b,Did they listen to you about your problem?,Sizi bu sıkıntı yaratan olay ile ilgili dinlediler mi?,형제/자매들은 당신의 문제를 귀기울여 들어주었습니까?,,
,sibling_c,Did they perceive your problem/stress as if it is his own (even if they may not have anything to do with the problem itself)?,"Bu olayı kendi sıkıntıları, kendi problemleri gibi gördüler mi? (problemin onlarla ilişkisi olsa da olmasa da)",형제/자매들은 당신의 문제/스트레스를 마치 본인의 문제인 것처럼 생각했습니까? (비록 그 문제 자체를 위해 어떤 일을 하지 않았을지라도),,
,sibling_d,Did they try to solve your problem/stress for you (resorting mainly to their own resources and/or mobilizing your resources themselves)?,Bu olayı kendileri çözmeye çalıştılar mı? (Çoğunlukla kendi kaynaklarını kullanarak veya sizin kaynaklarınızı harekete geçirerek),형제/자매들은 당신의 문제/스트레스를 해결하기 위해 노력했습니까? (자신이 갖고 있는 자원들을 제공하려고 하거나 당신의 자원을 활용하도록 도움을 줌),,
,sibling_e,Did they share the responsibility of resolving this problem with you?,Bu olayı çözmenin sorumluluğunu sizinle paylaştılar mı?,형제/자매들은 당신의 문제를 해결하기 위한 책임을 공유했습니까?,,
,sibling_f,Did they care about your problem?,Bu sıkıntı yaratan olayı önemsediler mi?,형제/자매들은 당신의 문제에 관심을 보였습니까?,,
